epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32619,2.42708,7.49606,1.5337,0.00148,0.61905,0.01864,0.00747,2.57869,5.64506,1.65336,0.00010003,0.00010003,0.00010003
2,5.06249,1.79846,3.48228,1.34069,0.52746,0.59838,0.53669,0.26253,1.63143,2.20112,1.40164,0.000210106,0.000210106,0.000210106
3,6.83532,1.41482,2.52723,1.1245,0.6492,0.89829,0.77452,0.30535,1.72787,2.01606,1.39154,0.000315655,0.000315655,0.000315655
4,8.49558,1.44265,1.9731,1.09578,0.74735,0.86529,0.90092,0.41976,1.7265,1.69319,1.48342,0.000416676,0.000416676,0.000416676
5,10.2402,1.49962,1.65508,1.17465,0.63911,0.78026,0.7338,0.33234,1.84801,1.65606,1.45416,0.000513171,0.000513171,0.000513171
6,12.0768,1.36004,1.44116,1.09569,0.71772,0.70908,0.77311,0.42302,1.92916,1.61625,1.66661,0.000605139,0.000605139,0.000605139
7,13.8077,1.42337,1.44458,1.17745,0.76826,0.84146,0.81642,0.48324,1.65366,1.18813,1.4646,0.000692579,0.000692579,0.000692579
8,15.4992,1.31738,1.21198,1.16449,0.77867,0.82737,0.89802,0.49903,1.59551,1.30762,1.41574,0.000775493,0.000775493,0.000775493
9,17.1637,1.36504,1.0265,1.14987,0.75347,0.89235,0.88611,0.42689,1.67239,1.18042,1.5772,0.000853879,0.000853879,0.000853879
10,18.8033,1.35925,1.16162,1.28717,0.75036,0.93239,0.89099,0.42191,1.73319,1.06323,1.59329,0.000927738,0.000927738,0.000927738
11,20.411,1.37179,0.99436,1.1823,0.85364,0.90476,0.90297,0.48085,1.59417,0.99165,1.4871,0.00099707,0.00099707,0.00099707
12,22.0065,1.13012,1.14153,1.0335,0.70425,0.89759,0.84075,0.47364,1.5461,1.43372,1.47888,0.00106188,0.00106188,0.00106188
13,23.6204,1.39135,0.99657,1.19256,0.8566,0.73651,0.83135,0.41267,1.68697,1.52981,1.57698,0.00108947,0.00108947,0.00108947
14,25.2405,1.37582,0.87354,1.17452,0.76728,0.75463,0.87764,0.5058,1.47856,1.35676,1.43093,0.00106118,0.00106118,0.00106118
15,27.1215,1.28207,0.81413,1.15532,0.79104,0.88184,0.84936,0.44278,1.57519,1.12171,1.48494,0.00103288,0.00103288,0.00103288
16,28.7915,1.42192,0.91027,1.18534,0.87212,1,0.93433,0.5584,1.48683,0.8727,1.44103,0.00100459,0.00100459,0.00100459
17,30.5045,1.33357,0.88958,1.10224,0.89697,0.97592,0.95815,0.65033,1.33125,0.84775,1.36098,0.000976293,0.000976293,0.000976293
18,32.2027,1.11856,0.7848,0.96519,0.91002,0.99554,0.9213,0.51101,1.51637,0.9378,1.43101,0.000947999,0.000947999,0.000947999
19,33.8352,1.08562,0.71382,0.95144,0.91365,1,0.9213,0.50322,1.56406,0.82929,1.43767,0.000919704,0.000919704,0.000919704
20,35.4512,1.34003,1.25282,1.16379,0.97471,1,0.995,0.57449,1.50392,0.71133,1.42653,0.00089141,0.00089141,0.00089141
21,37.0872,1.34538,0.788,1.18713,0.95904,0.99304,0.995,0.58566,1.52341,0.71269,1.4061,0.000863116,0.000863116,0.000863116
22,38.7115,1.29032,0.76627,1.12478,0.9825,0.99099,0.995,0.56803,1.52061,0.77037,1.45367,0.000834822,0.000834822,0.000834822
23,40.4503,1.26305,0.78813,1.15818,0.96051,1,0.995,0.58848,1.5272,0.83038,1.4176,0.000806528,0.000806528,0.000806528
24,42.0272,1.16437,0.75651,1.15877,0.94266,0.99286,0.995,0.60428,1.45922,0.87033,1.35431,0.000778233,0.000778233,0.000778233
25,43.5041,1.24805,0.73932,1.10845,0.93952,0.98844,0.9775,0.57933,1.49901,0.72887,1.38173,0.000749939,0.000749939,0.000749939
26,45.0296,1.18231,0.7587,1.08118,0.92534,0.99125,0.9775,0.58095,1.45416,0.76242,1.36187,0.000721645,0.000721645,0.000721645
27,46.594,1.1618,0.68301,1.07283,0.96952,1,0.995,0.60453,1.42376,0.75217,1.35005,0.000693351,0.000693351,0.000693351
28,48.1403,1.2154,0.65518,1.14198,0.94047,0.97669,0.995,0.59059,1.48914,0.73858,1.38118,0.000665057,0.000665057,0.000665057
29,49.7272,1.21424,0.68916,1.17415,0.95923,0.95238,0.98917,0.60251,1.51849,0.7473,1.3767,0.000636762,0.000636762,0.000636762
30,51.3668,1.08726,0.6305,1.00181,0.90618,0.99271,0.98333,0.57324,1.54986,0.73948,1.37943,0.000608468,0.000608468,0.000608468
31,52.3468,1.10846,0.63246,1.03481,0.93247,0.99076,0.98333,0.55902,1.53773,0.69845,1.38499,0.000580174,0.000580174,0.000580174
32,53.5687,1.02685,0.63842,1.05257,0.98527,1,0.995,0.59492,1.54474,0.63324,1.38796,0.00055188,0.00055188,0.00055188
